run_id,backbone,model_name,budget_flops,n_active_params,train_flops_per_clip,loss_main,loss_stability,loss_source,metric_a_error_f1,metric_a_error_acc,metric_b_error,clips_seen_D,global_batch,steps_done,seed,status
vit_base_C1p0e16,vit_base,vit_base,1e+16,134443392,5464809013248,0.627039,0.107286,train_running_mean,,,,2400,24,100,239,unconverged
vit_base_C3p0e16,vit_base,vit_base,3e+16,134443392,5464809013248,0.453797,0.176404,train_running_mean,,,,7200,24,300,239,unconverged
vit_small_C1p0e16,vit_small,vit_small,1e+16,66693120,3725347258368,0.589171,0.140710,train_running_mean,,,,4200,24,175,239,unconverged
vit_small_C3p0e16,vit_small,vit_small,3e+16,66693120,3725347258368,0.490925,0.100946,train_running_mean,,,,13200,24,550,239,unconverged
vit_tiny_C1p0e16,vit_tiny,vit_tiny,1e+16,49185600,3198072913920,0.489356,0.126958,train_running_mean,,,,6000,24,250,239,unconverged
vit_tiny_C3p0e16,vit_tiny,vit_tiny,3e+16,49185600,3198072913920,0.476792,0.117486,train_running_mean,,,,17400,24,725,239,unconverged
